,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24059,24065,1003,20,6,5,3,3,3,3,15.0,61,+39.984,6711595,48,6,1:44.669,174.137,1
24079,24085,1004,20,6,5,3,3,3,3,15.0,53,+7.487,5252668,50,3,1:35.990,219.322,1
24102,24108,1005,20,6,5,8,6,6,6,8.0,53,+1:09.873,5306935,53,1,1:32.318,226.447,1
24120,24126,1006,20,6,5,5,4,4,4,12.0,56,+18.222,5676865,41,3,1:38.280,201.941,1
24138,24144,1007,20,6,5,4,2,2,2,18.0,71,+17.316,5926167,49,4,1:19.522,194.844,1
24162,24168,1008,20,6,5,2,6,6,6,8.0,71,+26.997s,5256063,71,2,1:10.831,219.005,1
24178,24184,1009,20,6,5,3,2,2,2,18.0,55,+2.581,5982963,54,1,1:40.867,198.225,1
24200,24206,1010,20,6,5,3,4,4,4,12.0,58,+57.109,5184434,16,8,1:27.954,217.054,1
24221,24227,1011,20,6,5,2,5,5,5,10.0,57,+36.068,5697363,43,4,1:34.895,205.313,1
24239,24245,1012,20,6,5,3,3,3,3,15.0,56,+13.774,5540124,37,2,1:34.836,206.921,1
24259,24265,1013,20,6,5,3,3,3,3,15.0,51,+11.739,5524681,46,4,1:44.629,206.546,1
24280,24286,1014,20,6,5,3,4,4,4,12.0,66,+9.167,5759610,64,4,1:19.820,209.947,1
24301,24307,1015,20,6,5,4,2,2,2,18.0,78,+2.602,6211039,9,9,1:16.277,157.494,1
24321,24327,1016,20,6,5,1,2,2,2,18.0,70,+3.658,5350742,57,5,1:14.875,209.677,1
24344,24350,1017,20,6,5,7,5,5,5,11.0,53,+1:02.796,5133994,53,1,1:32.740,226.775,1
24363,24369,1018,20,6,5,9,4,4,4,12.0,71,+19.610,4941432,62,2,1:07.676,229.694,1
24395,24401,1019,20,6,5,6,16,16,16,0.0,51,,,46,3,1:28.733,239.004,11
24401,24407,1020,20,6,5,20,2,2,2,18.0,64,+7.333,6278608,63,2,1:16.794,214.423,1
24422,24428,1021,20,6,5,5,3,3,3,15.0,70,+1:01.433,5765229,65,4,1:19.786,197.673,1
24443,24449,1022,20,6,5,2,4,4,4,13.0,44,+26.422,5052132,36,1,1:46.409,236.957,1
24472,24478,1023,20,6,5,4,13,13,13,0.0,52,,,50,2,1:22.799,251.872,11
24480,24486,1024,20,6,5,3,1,1,1,25.0,61,1:58:33.667,7113667,57,5,1:44.802,173.916,1
24521,24527,1026,20,6,5,1,2,2,2,18.0,52,+13.343,4920098,38,5,1:32.122,226.929,1
24541,24547,1027,20,6,5,2,2,2,2,18.0,71,+1.766,5810670,68,3,1:19.381,195.190,1
24597,24602,1029,20,6,5,2,17,17,17,0.0,65,,,51,5,1:11.384,217.309,4
24605,24610,1030,20,6,5,4,5,5,5,10.0,55,+1:04.357,5710072,55,3,1:40.128,199.688,1
24629,24635,1031,20,6,5,11,10,10,10,1.0,71,+24.545,5480284,71,8,1:08.623,226.524,1
24665,24671,1033,20,6,5,5,6,6,6,8.0,69,,,49,14,1:20.363,196.254,11
24689,24695,1034,20,6,5,10,10,10,10,1.0,52,+41.857,5323140,44,15,1:30.537,234.242,1
24711,24717,1035,20,6,5,11,12,12,12,0.0,52,+1:13.370,4855363,49,13,1:30.785,233.602,1
24726,24732,1036,20,6,5,11,7,7,7,6.0,65,,,48,18,1:22.707,202.618,11
24752,24758,1037,20,6,5,14,13,13,13,0.0,44,+1:12.894,5121655,31,16,1:49.958,229.309,1
24789,24795,1039,20,6,5,14,10,10,10,1.0,59,+29.983,8405043,59,8,1:21.202,232.531,1
24812,24818,1040,20,6,5,14,13,13,13,0.0,52,,,46,14,1:39.588,211.398,11
24830,24836,1041,20,6,5,11,11,11,11,0.0,60,+40.810,5790451,43,7,1:30.408,204.990,1
24849,24855,1042,20,6,5,15,10,10,10,1.0,65,,,62,10,1:20.731,207.489,11
24871,24877,1043,20,6,5,14,12,12,12,0.0,63,+28.453,5340883,44,7,1:17.767,227.248,1
24882,24888,1044,20,6,5,11,3,3,3,15.0,58,+31.960,6171273,53,8,1:39.662,192.819,1
24912,24918,1045,20,6,5,11,13,13,13,0.0,56,,,41,11,1:33.861,207.575,11
24931,24937,1046,20,6,5,13,12,12,12,0.0,87,+22.611,5497725,56,5,0:56.905,224.141,1
24953,24959,1047,20,6,5,13,14,14,14,0.0,54,,,37,6,1:41.475,197.037,11
24974,24980,1052,20,117,5,20,15,15,15,0.0,55,,,26,16,1:35.566,203.871,11
